"","X","site","year","Year.code","date","Date.code","Julian.Day","Stream","Stream.code","elevation","aspect","order","OctFlow","density","closure","SP","air.max","max"
"1",1,"cc1",1999,"a","6/15","a",166,"Cold","c",5341,18,2,0,15,4,79,78.9,59.1
"2",3,"lc1",1999,"a","6/15","a",166,"Lassen","b",4718,281,3,1.2,22,15,80,80.2,NA
"3",4,"lc2",1999,"a","6/15","a",166,"Lassen","b",4755,336,3,1.4,35,17,67,80.2,63.4
"4",5,"lc3",1999,"a","6/15","a",166,"Lassen","b",5144,323,3,2.4,4,3,94,78.9,61.2
"5",6,"lc4",1999,"a","6/15","a",166,"Lassen","b",5309,330,3,2.5,27,10,77,78.9,61.3
"6",7,"lc5",1999,"a","6/15","a",166,"Lassen","b",5310,332,2,1.5,21,10,80,78.9,61.8
"7",12,"lc6",1999,"a","6/15","a",166,"Lassen","b",5873,328,2,1.56,26,11,75,75.2,63.1
"8",13,"lc7",1999,"a","6/15","a",166,"Lassen","b",5950,310,2,0.84,23,8,73,75.2,59.8
"9",14,"lc8",1999,"a","6/15","a",166,"Lassen","b",6118,6,1,0.53,47,20,59,75.2,47.9
"10",15,"wc1",1999,"a","6/15","a",166,"Willow","a",4721,326,3,0.22,5,1,92,80.2,72
"11",16,"wc3",1999,"a","6/15","a",166,"Willow","a",4776,284,3,0.73,1,2,100,80.2,69.8
"12",17,"wc4",1999,"a","6/15","a",166,"Willow","a",4834,319,3,1.13,16,8,82,80.2,67.8
"13",18,"wc5",1999,"a","6/15","a",166,"Willow","a",4995,331,3,1.1,40,23,57,78.9,66.1
"14",19,"wc6",1999,"a","6/15","a",166,"Willow","a",5103,323,2,0.86,50,21,53,78.9,70.4
"15",21,"wc7",1999,"a","6/15","a",166,"Willow","a",5198,336,2,0.63,0,0,99,78.9,74
"16",155,"cc1",2000,"b","6/15","a",166,"Cold","c",5341,18,2,0,15,4,79,77.8,73
"17",156,"cc2",2000,"b","6/15","a",166,"Cold","c",5471,5,2,0,56,30,36,77.8,58.7
"18",158,"lc2",2000,"b","6/15","a",166,"Lassen","b",4755,336,3,0.47,35,17,67,77.8,72.6
"19",159,"lc3",2000,"b","6/15","a",166,"Lassen","b",5144,323,3,1.24,4,3,94,77.8,76.7
"20",160,"lc4",2000,"b","6/15","a",166,"Lassen","b",5309,330,3,0.55,27,10,77,77.8,72.2
"21",161,"lc5",2000,"b","6/15","a",166,"Lassen","b",5310,332,2,0.35,21,10,80,77.8,70.6
"22",166,"lc6",2000,"b","6/15","a",166,"Lassen","b",5873,328,2,0.22,26,11,75,71.5,73.1
"23",167,"lc7",2000,"b","6/15","a",166,"Lassen","b",5950,310,2,0.2,23,8,73,71.5,68.2
"24",168,"lc8",2000,"b","6/15","a",166,"Lassen","b",6118,6,1,0.15,47,20,59,71.5,59.4
"25",169,"wc1",2000,"b","6/15","a",166,"Willow","a",4721,326,3,0.11,5,1,92,74.5,73.9
"26",172,"wc5",2000,"b","6/15","a",166,"Willow","a",4995,331,3,0.16,40,23,57,71.5,76.4
"27",173,"wc6",2000,"b","6/15","a",166,"Willow","a",5103,323,2,0.17,50,21,53,71.5,78.3
"28",175,"wc7",2000,"b","6/15","a",166,"Willow","a",5198,336,2,0.15,0,0,99,71.5,78
"29",309,"cc1",2001,"c","6/15","a",166,"Cold","c",5341,18,2,1,15,4,79,80,73.4
"30",310,"cc2",2001,"c","6/15","a",166,"Cold","c",5471,5,2,0,56,30,36,80,56.7
"31",311,"lc1",2001,"c","6/15","a",166,"Lassen","b",4718,281,3,1.5,22,15,80,77.2,65.6
"32",312,"lc2",2001,"c","6/15","a",166,"Lassen","b",4755,336,3,0,35,17,67,77.2,70.1
"33",313,"lc3",2001,"c","6/15","a",166,"Lassen","b",5144,323,3,2.9,4,3,94,80,76
"34",314,"lc4",2001,"c","6/15","a",166,"Lassen","b",5309,330,3,3,27,10,77,80,68.2
"35",315,"lc5",2001,"c","6/15","a",166,"Lassen","b",5310,332,2,2.5,21,10,80,80,69.6
"36",317,"lc5b",2001,"c","6/15","a",166,"Lassen","b",5667,28,2,1.7,23,14,74,76.3,69.8
"37",318,"lc5c",2001,"c","6/15","a",166,"Lassen","b",5680,5,2,2,10,6,85,76.3,71
"38",320,"lc6",2001,"c","6/15","a",166,"Lassen","b",5873,328,2,0.7,26,11,75,76.3,72.5
"39",321,"lc7",2001,"c","6/15","a",166,"Lassen","b",5950,310,2,1.4,23,8,73,76.3,69.5
"40",322,"lc8",2001,"c","6/15","a",166,"Lassen","b",6118,6,1,0.79,47,20,59,76.3,58.3
"41",323,"wc1",2001,"c","6/15","a",166,"Willow","a",4721,326,3,0.45,5,1,92,72.6,83.7
"42",324,"wc3",2001,"c","6/15","a",166,"Willow","a",4776,284,3,0.44,1,2,100,72.6,70.2
"43",325,"wc4",2001,"c","6/15","a",166,"Willow","a",4834,319,3,1.2,16,8,82,72.6,76.8
"44",326,"wc5",2001,"c","6/15","a",166,"Willow","a",4995,331,3,1.5,40,23,57,80,73.7
"45",327,"wc6",2001,"c","6/15","a",166,"Willow","a",5103,323,2,0.9,50,21,53,80,NA
"46",329,"wc7",2001,"c","6/15","a",166,"Willow","a",5198,336,2,3.8,0,0,99,80,69.2
"47",330,"wc8",2001,"c","6/15","a",166,"Willow","a",5200,343,2,1.7,0,0,97,80,73.8
